4,5,0.7,42.41,724,10260,0,0,0,0,57,0.233705476
4,10,0.7,19.68,1410,5760,0,0,0,1,48,0.249416667
3,8,0.65,29.4,962,4560,0,4.5,30,2,57,0.251399254
1,8,0.65,24.26,1435,6600,0,0,0,0,55,0.260978788
4,6,0.35,22.53,1450,2640,0,0,0,1,39,0.26369382
2,1,0.6,22.53,708,5040,0,0,0,1,42,0.268214286
7,9,0.5,18.79,1688,5280,0,0,0,1,54,0.283054487
3,7,0.6,23.54,958,6600,0,0,0,0,55,0.285333333
6,8,0.5,23.54,1144,6480,0,0,0,0,54,0.286984568
1,7,0.7,24.26,2698,6720,0,0,0,0,56,0.295307738
2,10,0.65,18.22,741,0,0,8,35,1,49,0.302117347
2,2,0.4,15.28,157,5400,0,6.5,30,1,45,0.30277037
3,10,0.7,19.68,1119,5640,0,8,35,1,47,0.303574468
7,5,0.8,30.1,450,5700,0,4.5,25,0,60,0.307501459
3,2,0.8,51.02,1086,4260,27,0,0,0,57,0.311207464
3,2,0.6,30.33,868,6840,0,0,0,1,57,0.328131579
1,9,0.6,18.79,2103,5400,0,0,0,1,54,0.329964879
3,6,0.75,18.79,52,3960,0,0,0,0,33,0.332146465
4,11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
6,8,0.35,15.09,1448,9360,23,0,0,0,52,0.34998951
3,11,0.35,14.61,838,7200,23,0,0,0,55,0.35003125
1,11,0.35,28.08,749,10260,23,0,0,0,57,0.350066986
2,10,0.35,22.4,715,10170,23,0,0,0,56.5,0.35020649
1,12,0.35,15.26,1111,6120,23,0,0,0,34,0.35021836
4,3,0.35,30.1,770,6960,0,0,0,1,58,0.350301724
1,7,0.35,30.1,842,6960,0,0,0,1,58,0.350301724
1,8,0.35,30.1,901,6960,0,0,0,1,58,0.350301724
1,4,0.35,22.4,581,7350,0,0,0,0,51.5,0.35063299
3,4,0.35,30.1,287,6060,23,150,15,0,55.5,0.350706422
7,8,0.7,24.26,154,6840,0,0,0,0,57,0.353259649
1,10,0.6,18.22,1131,5280,0,0,0,1,44,0.35542803
7,7,0.7,24.26,148,6960,0,0,0,0,58,0.355534483
2,2,0.5,30.33,838,6720,0,0,0,1,56,0.361071429
6,8,0.7,24.26,652,6840,0,300,37,0,57,0.365318713
4,7,0.8,30.1,834,1200,0,4,40,0,59,0.366053523
2,11,0.5,48.18,1282,6480,23,0,0,0,54,0.37046657
4,1,0.35,26.66,1164,6600,23,0,0,2,55,0.378895152
6,5,0.5,20.79,966,7680,0,0,0,0,56,0.388007813
